participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.treatment,player.urn,player.current_ball,player.choice_U,player.choice_B,player.payoff,group.id_in_subsession,group.perf,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,uzb5ub1o,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:33.904934+00:00,0,1,,,5,B,B,blue,,B,1.00,1,,1,ngl7p6k1,,,,,,1
2,otlk9a3r,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:36.144534+00:00,0,1,,,6,B,B,red,,A,-1.00,1,,1,ngl7p6k1,,,,,,1
3,rc6duvzp,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:38.417934+00:00,0,1,,,1,U,A,blue,B,,-1.00,1,,1,ngl7p6k1,,,,,,1
4,1ay7duvd,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:40.369534+00:00,0,1,,,4,B,B,blue,,B,1.00,1,,1,ngl7p6k1,,,,,,1
5,msuftdcb,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:42.398134+00:00,0,1,,,3,U,B,blue,B,,1.00,1,,1,ngl7p6k1,,,,,,1
6,l5aeat6d,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:45.051134+00:00,0,1,,,7,B,B,blue,,B,1.00,1,,1,ngl7p6k1,,,,,,1
7,xm0glpx0,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:46.825334+00:00,0,1,,,2,B,A,red,,A,1.00,1,,1,ngl7p6k1,,,,,,1
1,uzb5ub1o,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:33.904934+00:00,0,1,,,4,B,B,blue,,B,1.00,1,,2,ngl7p6k1,,,,,,1
2,otlk9a3r,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:36.144534+00:00,0,1,,,6,B,B,red,,A,-1.00,1,,2,ngl7p6k1,,,,,,1
3,rc6duvzp,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:38.417934+00:00,0,1,,,2,B,A,red,,A,1.00,1,,2,ngl7p6k1,,,,,,1
4,1ay7duvd,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:40.369534+00:00,0,1,,,3,U,B,blue,B,,1.00,1,,2,ngl7p6k1,,,,,,1
5,msuftdcb,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:42.398134+00:00,0,1,,,1,U,A,blue,B,,-1.00,1,,2,ngl7p6k1,,,,,,1
6,l5aeat6d,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:45.051134+00:00,0,1,,,7,B,B,red,,A,-1.00,1,,2,ngl7p6k1,,,,,,1
7,xm0glpx0,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:46.825334+00:00,0,1,,,5,B,B,blue,,B,1.00,1,,2,ngl7p6k1,,,,,,1
1,uzb5ub1o,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:33.904934+00:00,0,1,,,4,B,B,black,,B,1.00,1,,3,ngl7p6k1,,,,,,1
2,otlk9a3r,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:36.144534+00:00,0,1,,,5,B,B,blue,,B,1.00,1,,3,ngl7p6k1,,,,,,1
3,rc6duvzp,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:38.417934+00:00,0,1,,,7,B,B,blue,,B,1.00,1,,3,ngl7p6k1,,,,,,1
4,1ay7duvd,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:40.369534+00:00,0,1,,,2,B,A,red,,A,1.00,1,,3,ngl7p6k1,,,,,,1
5,msuftdcb,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:42.398134+00:00,0,1,,,1,U,A,blue,B,,-1.00,1,,3,ngl7p6k1,,,,,,1
6,l5aeat6d,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:45.051134+00:00,0,1,,,6,B,B,red,,A,-1.00,1,,3,ngl7p6k1,,,,,,1
7,xm0glpx0,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:46.825334+00:00,0,1,,,3,U,B,blue,B,,1.00,1,,3,ngl7p6k1,,,,,,1
1,uzb5ub1o,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:33.904934+00:00,0,1,,,7,B,B,blue,,B,1.00,1,,4,ngl7p6k1,,,,,,1
2,otlk9a3r,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:36.144534+00:00,0,1,,,6,B,B,red,,A,-1.00,1,,4,ngl7p6k1,,,,,,1
3,rc6duvzp,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:38.417934+00:00,0,1,,,4,B,B,blue,,B,1.00,1,,4,ngl7p6k1,,,,,,1
4,1ay7duvd,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:40.369534+00:00,0,1,,,1,U,A,blue,B,,-1.00,1,,4,ngl7p6k1,,,,,,1
5,msuftdcb,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:42.398134+00:00,0,1,,,2,B,A,blue,,A,1.00,1,,4,ngl7p6k1,,,,,,1
6,l5aeat6d,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:45.051134+00:00,0,1,,,5,B,B,blue,,B,1.00,1,,4,ngl7p6k1,,,,,,1
7,xm0glpx0,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:46.825334+00:00,0,1,,,3,U,B,red,B,,1.00,1,,4,ngl7p6k1,,,,,,1
1,uzb5ub1o,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:33.904934+00:00,0,1,,,6,B,B,red,,A,-1.00,1,,5,ngl7p6k1,,,,,,1
2,otlk9a3r,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:36.144534+00:00,0,1,,,1,U,A,red,B,,-1.00,1,,5,ngl7p6k1,,,,,,1
3,rc6duvzp,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:38.417934+00:00,0,1,,,3,U,B,blue,B,,1.00,1,,5,ngl7p6k1,,,,,,1
4,1ay7duvd,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:40.369534+00:00,0,1,,,2,B,A,blue,,A,1.00,1,,5,ngl7p6k1,,,,,,1
5,msuftdcb,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:42.398134+00:00,0,1,,,7,B,B,blue,,B,1.00,1,,5,ngl7p6k1,,,,,,1
6,l5aeat6d,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:45.051134+00:00,0,1,,,4,B,B,red,,B,1.00,1,,5,ngl7p6k1,,,,,,1
7,xm0glpx0,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:46.825334+00:00,0,1,,,5,B,B,red,,B,1.00,1,,5,ngl7p6k1,,,,,,1
1,uzb5ub1o,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:33.904934+00:00,0,1,,,5,B,B,blue,,B,1.00,1,,6,ngl7p6k1,,,,,,1
2,otlk9a3r,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:36.144534+00:00,0,1,,,4,B,B,blue,,B,1.00,1,,6,ngl7p6k1,,,,,,1
3,rc6duvzp,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:38.417934+00:00,0,1,,,7,B,B,black,,B,1.00,1,,6,ngl7p6k1,,,,,,1
4,1ay7duvd,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:40.369534+00:00,0,1,,,1,U,A,red,B,,-1.00,1,,6,ngl7p6k1,,,,,,1
5,msuftdcb,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:42.398134+00:00,0,1,,,6,B,B,red,,A,-1.00,1,,6,ngl7p6k1,,,,,,1
6,l5aeat6d,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:45.051134+00:00,0,1,,,2,B,A,red,,A,1.00,1,,6,ngl7p6k1,,,,,,1
7,xm0glpx0,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:46.825334+00:00,0,1,,,3,U,B,blue,B,,1.00,1,,6,ngl7p6k1,,,,,,1
1,uzb5ub1o,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:33.904934+00:00,0,1,,,1,U,A,red,B,,-1.00,1,,7,ngl7p6k1,,,,,,1
2,otlk9a3r,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:36.144534+00:00,0,1,,,3,U,B,blue,B,,1.00,1,,7,ngl7p6k1,,,,,,1
3,rc6duvzp,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:38.417934+00:00,0,1,,,4,B,B,black,,B,1.00,1,,7,ngl7p6k1,,,,,,1
4,1ay7duvd,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:40.369534+00:00,0,1,,,2,B,A,blue,,A,1.00,1,,7,ngl7p6k1,,,,,,1
5,msuftdcb,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:42.398134+00:00,0,1,,,6,B,B,blue,,A,-1.00,1,,7,ngl7p6k1,,,,,,1
6,l5aeat6d,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:45.051134+00:00,0,1,,,5,B,B,red,,B,1.00,1,,7,ngl7p6k1,,,,,,1
7,xm0glpx0,,0,28,28,informational_cascades,7,Results,127.0.0.1,2017-03-03 09:37:46.825334+00:00,0,1,,,7,B,B,red,,B,1.00,1,,7,ngl7p6k1,,,,,,1
